P03,P1,P5,PM1_env,P10,PM25_std,PM10_env,P25,P05,PM10_std,PM1_std,PM25_env,MQ2_VCs,Humidity,Temperature,Pressure,Timestamp,Sample_Conditioning,Indoor_Outdoor
924,42,1,4,1,5,6,1,259,6,4,5,622,69,26.3,100928.735989,10/23/21 15:51:19,0,0
795,38,1,3,1,4,5,1,227,5,3,4,627,71,25.7,100928.206929,10/23/21 15:51:31,0,0
807,48,1,4,1,6,6,1,238,6,4,6,630,71,26.9,100919.570818,10/23/21 15:51:32,0,0
819,49,1,3,1,5,6,1,238,6,3,5,631,69,26.5,100922.052927,10/23/21 15:51:39,0,0
732,42,0,3,0,4,4,0,207,4,3,4,631,65,26.3,100925.010973,10/23/21 15:51:40,0,0
732,42,0,4,0,5,5,0,207,5,4,5,637,67,26.5,100928.851798,10/23/21 15:51:42,0,0
714,40,0,3,0,5,5,0,201,5,3,5,624,66,26.5,100919.977063,10/23/21 15:51:43,0,0
714,40,0,2,0,4,4,0,201,4,2,4,635,65,26.6,100926.774086,10/23/21 15:51:45,0,0
696,42,0,2,0,4,4,0,192,4,2,4,636,67,26.8,100929.252204,10/23/21 15:51:47,0,0
729,46,0,4,0,5,5,0,205,5,4,5,634,69,26.4,100926.2936,10/23/21 15:51:49,0,0
735,44,0,3,0,4,4,1,205,4,3,4,636,67,26.5,100917.417793,10/23/21 15:51:51,0,0
735,44,0,3,0,4,4,1,205,4,3,4,637,67,26.6,100920.25597,10/23/21 15:51:52,0,0
747,36,0,3,0,4,4,1,211,4,3,4,624,66,26.2,100926.2936,10/23/21 15:51:53,0,0
747,36,0,3,0,4,4,1,211,4,3,4,639,71,26.7,100921.976012,10/23/21 15:51:55,0,0
774,39,0,4,0,6,6,1,223,6,4,6,637,68,26.1,100923.455293,10/23/21 15:51:56,0,0
774,39,0,4,0,6,6,1,223,6,4,6,639,68,26.6,100925.328326,10/23/21 15:51:58,0,0
756,33,0,4,0,5,5,2,215,5,4,5,639,70,26.9,100926.807787,10/23/21 15:52:00,0,0
723,33,0,4,0,5,5,2,210,5,4,5,639,68,26.9,100925.328326,10/23/21 15:52:01,0,0
723,33,0,4,0,5,5,2,210,5,4,5,640,67,26.5,100925.449299,10/23/21 15:52:02,0,0
693,30,0,3,0,5,5,2,200,5,3,5,642,67,26.9,100923.48535,10/23/21 15:52:04,0,0
693,30,0,3,0,5,5,2,200,5,3,5,644,67,26.8,100921.64145,10/23/21 15:52:06,0,0
705,31,0,3,0,5,5,2,208,5,3,5,643,67,26.6,100926.82907,10/23/21 15:52:10,0,0
639,24,0,3,0,4,4,2,187,4,3,4,644,68,27,100922.389973,10/23/21 15:52:11,0,0
639,24,0,3,0,4,4,2,187,4,3,4,643,66,26.8,100922.023238,10/23/21 15:52:13,0,0
582,20,0,1,0,2,2,2,166,2,1,2,645,63,27.2,100926.706974,10/23/21 15:52:14,0,0
582,20,0,1,0,2,2,2,166,2,1,2,647,67,26.9,100925.349371,10/23/21 15:52:17,0,0
555,20,0,2,0,3,3,1,156,3,2,3,646,66,26.2,100922.267817,10/23/21 15:52:18,0,0
504,18,0,1,0,2,2,1,137,2,1,2,647,68,26.2,100917.706358,10/23/21 15:52:19,0,0
504,18,0,1,0,2,2,1,137,2,1,2,647,68,26.5,100923.869672,10/23/21 15:52:21,0,0
504,16,0,1,0,1,1,1,133,1,1,1,651,70,26.9,100923.625311,10/23/21 15:52:22,0,0
504,16,0,2,0,2,2,1,133,2,2,2,645,65,27.1,100923.012844,10/23/21 15:52:25,0,0
489,12,0,1,0,1,1,0,120,1,1,1,647,64,26.5,100926.095152,10/23/21 15:52:27,0,0
510,12,0,0,0,1,1,0,114,1,0,1,648,66,26.9,100923.380592,10/23/21 15:52:29,0,0
534,12,0,1,0,1,1,0,120,1,1,1,651,64,26.4,100927.819927,10/23/21 15:52:30,0,0
534,12,0,1,0,1,1,0,120,1,1,1,650,65,27,100923.502996,10/23/21 15:52:31,0,0
573,11,0,2,0,2,2,0,126,2,2,2,654,62,26.6,100926.584788,10/23/21 15:52:32,0,0
573,11,0,2,0,2,2,0,126,2,2,2,651,64,26.6,100923.380592,10/23/21 15:52:34,0,0
591,15,0,1,0,1,1,0,136,1,1,1,647,62,26.7,100927.819927,10/23/21 15:52:35,0,0
591,15,0,1,0,1,1,0,136,1,1,1,648,65,26.8,100923.380592,10/23/21 15:52:36,0,0
573,16,0,1,0,1,1,0,130,1,1,1,653,62,27.1,100925.849799,10/23/21 15:52:37,0,0
573,16,0,1,0,1,1,0,130,1,1,1,648,65,27.1,100919.930369,10/23/21 15:52:39,0,0
672,24,0,1,0,2,2,0,155,2,1,2,646,62,27.1,100922.767233,10/23/21 15:52:40,0,0
672,24,0,2,0,3,3,0,155,3,2,3,649,65,26.8,100915.490798,10/23/21 15:52:42,0,0
699,30,0,2,0,4,4,0,168,4,2,4,649,62,26.3,100928.563883,10/23/21 15:52:43,0,0
699,30,0,1,0,3,3,0,168,3,1,3,649,66,26.8,100922.398146,10/23/21 15:52:44,0,0
738,32,0,1,0,3,3,0,183,3,1,3,649,63,26.5,100923.631618,10/23/21 15:52:45,0,0
738,32,0,1,0,3,3,0,183,3,1,3,839,66,26.9,100925.35802,10/23/21 15:52:48,0,0
762,42,0,2,0,4,4,0,192,4,2,4,655,64,26.8,100929.057845,10/23/21 15:52:49,0,0
738,42,0,2,0,4,4,0,190,4,2,4,655,63,26.8,100921.53382,10/23/21 15:52:51,0,0
738,42,0,2,0,4,4,0,190,4,2,4,651,63,26.7,100930.290565,10/23/21 15:52:52,0,0
711,44,0,2,0,4,4,0,194,4,2,4,650,60,27,100927.454125,10/23/21 15:52:53,0,0
711,44,0,2,0,4,4,0,194,4,2,4,653,63,26.8,100923.137619,10/23/21 15:52:55,0,0
720,44,0,3,0,5,5,0,201,5,3,5,650,64,26.9,100923.137619,10/23/21 15:52:56,0,0
720,44,0,3,0,5,5,0,201,5,3,5,656,61,26.4,100921.162058,10/23/21 15:52:58,0,0
690,45,0,3,0,5,5,0,199,5,3,5,649,64,26.8,100931.150861,10/23/21 15:53:00,0,0
729,39,0,3,0,5,5,0,199,5,3,5,655,62,26.8,100923.501141,10/23/21 15:53:01,0,0
729,39,0,3,0,5,5,0,199,5,3,5,654,65,27,100930.40416,10/23/21 15:53:02,0,0
753,38,0,3,0,5,5,0,205,5,3,5,650,63,26.5,100923.002588,10/23/21 15:53:04,0,0
753,38,0,3,0,5,5,0,205,5,3,5,655,62,26.8,100921.272423,10/23/21 15:53:06,0,0
672,34,0,3,0,5,5,0,186,5,3,5,651,62,26.7,100922.627738,10/23/21 15:53:08,0,0
660,28,0,3,0,4,4,0,185,4,3,4,650,61,26.9,100925.588486,10/23/21 15:53:09,0,0
660,28,0,3,0,4,4,0,185,4,3,4,652,63,27.2,100922.252089,10/23/21 15:53:10,0,0
666,32,0,3,0,4,4,0,181,4,3,4,654,62,26.6,100923.356131,10/23/21 15:53:13,0,0
672,28,0,3,0,4,4,0,183,4,3,4,652,61,27,100923.356131,10/23/21 15:53:14,0,0
672,28,0,3,0,4,4,0,183,4,3,4,654,60,26.7,100926.065825,10/23/21 15:53:15,0,0
747,30,0,4,0,5,5,1,212,5,4,5,651,59,26.5,100930.507424,10/23/21 15:53:17,0,0
747,30,0,4,0,5,5,1,212,5,4,5,653,58,26.6,100922.853033,10/23/21 15:53:19,0,0
723,28,0,4,0,5,5,1,206,5,4,5,652,59,26.8,100928.649405,10/23/21 15:53:21,0,0
696,28,0,3,0,4,4,1,193,4,3,4,653,62,26.9,100921.372461,10/23/21 15:53:22,0,0
696,28,0,3,0,4,4,1,193,4,3,4,654,64,26.8,100920.994146,10/23/21 15:53:23,0,0
675,30,0,3,0,4,4,1,187,4,3,4,631,63,26.9,100926.790468,10/23/21 15:53:24,0,0
675,30,0,3,0,4,4,1,187,4,3,4,656,62,26.8,100926.790468,10/23/21 15:53:27,0,0
639,29,0,3,0,4,4,1,185,4,3,4,654,63,26.9,100919.387212,10/23/21 15:53:28,0,0
639,34,0,3,0,4,4,1,189,4,3,4,655,63,27.2,100924.804036,10/23/21 15:53:30,0,0
639,34,0,3,0,4,4,1,189,4,3,4,656,64,27,100925.777645,10/23/21 15:53:34,0,0
657,30,0,3,0,4,4,2,187,4,3,4,663,65,27.2,100926.877243,10/23/21 15:53:35,0,0
657,30,0,3,0,4,4,2,187,4,3,4,665,63,26.9,100920.826438,10/23/21 15:53:36,0,0
756,26,0,4,0,5,5,2,210,5,4,5,657,62,26.8,100927.848667,10/23/21 15:53:37,0,0
756,26,0,4,0,5,5,2,210,5,4,5,658,62,27.1,100930.683023,10/23/21 15:53:40,0,0
756,20,0,4,0,4,4,2,210,4,4,4,657,63,26.8,100923.278179,10/23/21 15:53:42,0,0
780,20,0,3,0,4,4,1,202,4,3,4,658,62,26.4,100926.112425,10/23/21 15:53:43,0,0
870,39,0,5,0,6,6,2,241,6,5,6,663,55,27.1,100923.092001,10/23/21 15:54:31,0,0
843,43,0,4,0,6,6,3,232,6,4,6,668,60,27,100928.630295,10/23/21 15:54:33,0,0
825,40,0,4,0,6,6,2,229,6,4,6,667,60,26.8,100928.372113,10/23/21 15:54:35,0,0
825,40,0,4,0,6,6,2,229,6,4,6,669,59,27,100928.372113,10/23/21 15:54:36,0,0
609,10,0,2,0,3,3,0,163,3,2,3,646,60,26.9,100925.925632,10/23/21 15:54:57,0,0
597,10,0,2,0,3,3,0,159,3,2,3,1694,68,27.6,100926.761544,10/23/21 15:54:58,0,0
597,10,0,2,0,3,3,0,159,3,2,3,646,69,27.4,100931.334764,10/23/21 15:55:00,0,0
570,10,0,2,0,3,3,0,147,3,2,3,648,67,26.6,100928.372113,10/23/21 15:55:01,0,0
